都道府県,人口(人)環境省2015,面積(km2)国土交通省2015,ゴミ総排出量(t)環境省2015,世帯数(1000世帯)総務省統計局国勢調査2015,年間平均気温(℃)国土交通省気象庁2015,年間平均湿度(%)国土交通省気象庁2015,ゴキブリ相談件数(件)ゴキブリ駆除マイスター2014/7/1~2015/7/31,人口密度(人/km2)総務省統計局国勢調査2015
,https://uub.jp/pdr/j/j.html#6,https://www.mlit.go.jp/hakusyo/mlit/h27/hakusho/h28/data/html/ns015010.html,http://www.env.go.jp/recycle/waste_tech/ippan/h27/index.html,https://www.stat.go.jp/data/nihon/02.html,https://www.data.jma.go.jp/risk/obsdl/index.php#,https://www.data.jma.go.jp/risk/obsdl/index.php#,https://t-meister.jp/gokiburi/lab/highrisk-area2015.html,https://www.e-stat.go.jp/dbview?sid=0003411212
北海道,5431892,83424.22,1944416,2438,10.0167,67.1667,0,68.6
青森県,1355577,9645.40,503390,509,11.5167,73.6667,1,135.6
岩手県,1302923,15275.01,440812,489,11.5500,72.6667,1,83.8
宮城県,2328401,7282.14,851108,943,13.6500,68.9167,16,320.5
秋田県,1058035,11637.54,380228,387,12.7083,70.4167,1,87.9
山形県,1140338,9323.15,382912,392,12.7000,71.3333,1,120.5
福島県,1951179,13783.75,760627,730,14.1917,69.5833,3,138.9
茨城県,2974228,6096.93,1092072,1122,14.7833,73.9167,28,478.4
栃木県,2006420,6408.09,678303,762,14.9333,66.6667,12,308.1
群馬県,2014156,6362.28,756990,772,15.5833,61.6667,4,310.1
埼玉県,7302600,3797.75,2368098,2968,14.1083,74.0000,53,1913.4
千葉県,6253412,5157.64,2120485,2605,16.7333,66.4167,98,1206.5
東京都,13286516,2190.90,4501160,6691,16.3833,67.5000,529,6168.7
神奈川県,9116978,2415.81,2954371,3965,16.6500,69.6667,150,3777.7
新潟県,2339268,12584.10,874457,846,14.4083,71.9167,9,183.1
富山県,1086315,4247.61,410200,390,14.8250,71.5000,1,251
石川県,1160292,4186.15,421269,452,15.3333,71.0000,4,275.7
福井県,804229,4190.43,277789,279,15.1500,75.7500,1,187.7
山梨県,855745,4464.99,311035,330,15.5750,64.0000,1,187
長野県,2149243,13561.56,653520,805,12.8333,73.2500,1,154.8
岐阜県,2045952,10621.29,673852,752,16.5417,67.0833,2,191.3
静岡県,3789470,7778.70,1236820,1427,17.1500,68.5833,4,475.8
愛知県,7487071,5172.40,2549821,3060,16.5667,66.5833,72,1446.7
三重県,1827595,5774.39,644756,719,16.5917,68.8333,4,314.5
滋賀県,1420801,4017.38,438059,537,15.5000,73.0000,4,351.7
京都府,2628812,4612.20,843788,1151,16.6250,67.0000,40,566
大阪府,8871354,1904.99,3147394,3918,17.2167,66.1667,180,4639.8
兵庫県,5635102,8400.90,1966186,2312,17.2583,64.7500,59,658.8
奈良県,1396355,3690.94,470717,529,15.5167,76.1667,1,369.6
和歌山県,1004761,4724.68,356028,391,17.2167,69.1667,1,203.9
鳥取県,583541,3507.05,213306,216,15.4333,74.1667,1,163.5
島根県,706612,6708.23,244471,264,15.4000,77.1667,1,103.5
岡山県,1939935,7114.62,704620,771,14.2417,79.1667,2,270.1
広島県,2870416,8479.38,943342,1209,16.6417,64.9167,18,335.4
山口県,1432611,6112.30,528843,597,15.8667,74.7500,3,229.8
徳島県,777551,4146.93,269984,305,16.9750,68.5833,2,182.3
香川県,1006483,1876.73,324272,398,16.8667,68.3333,1,520.2
愛媛県,1428485,5676.10,473787,591,16.7917,69.5833,1,244.1
高知県,747518,7103.91,255716,318,17.4833,70.7500,6,102.5
福岡県,5117228,4986.40,1845524,2197,17.3250,71.3333,57,1023.1
佐賀県,848046,2440.64,272985,301,17.1333,72.4167,1,341.2
長崎県,1414903,4132.32,489823,558,17.2583,73.4167,1,333.3
熊本県,1818735,7409.32,560921,703,17.2250,73.5000,8,241.1
大分県,1191484,6340.61,408386,485,16.8000,71.4167,3,183.9
宮崎県,1136360,7735.31,405934,461,17.7167,76.9167,1,142.7
鹿児島県,1687233,9188.10,579764,722,18.7667,74.0000,1,179.4
沖縄県,1449332,2281.00,448532,559,23.5917,73.0000,1,628.4
